param_n_estimators,param_max_depth,param_min_samples_split,mean_test_score,std_test_score,rank_test_score
200,,10,0.7036500579374275,0.0044139676508842905,1
200,,5,0.7032638084202395,0.003807179220493695,2
50,,2,0.7031672460409425,0.0056548795894365905,3
50,,10,0.7028775589030514,0.003969054444682239,4
200,,2,0.7027327153341059,0.006150121538791488,5
50,,5,0.7026844341444572,0.004266265360056863,6
100,,5,0.7019602162997295,0.004571695853134716,7
100,,10,0.701332560834299,0.0037547744486719843,8
100,,2,0.6991599073001158,0.00576833944140784,9
200,30,10,0.6507821552723059,0.003179967902679594,10
100,30,5,0.6504441869447662,0.0020392730863212738,11
200,30,5,0.6503476245654692,0.0038558507933760745,12
200,30,2,0.6499613750482812,0.0032287086707803512,13
50,30,10,0.6496716879103901,0.002424658078310102,14
50,30,5,0.6490440324449595,0.003093012239869984,15
100,30,2,0.6486095017381228,0.0020483973962530616,16
100,30,10,0.6482232522209347,0.0016739026480648413,17
50,30,2,0.647499034376207,0.004358697876899346,18
200,20,10,0.6470162224797219,0.0025171128616718547,19
100,20,2,0.6470162224797219,0.002984855449222435,19
100,20,10,0.6468230977211279,0.0023692244392400975,21
200,20,5,0.6459540363074546,0.0028391638524506097,22
200,20,2,0.6456160679799151,0.0032200332175614326,23
100,20,5,0.6452298184627269,0.001190500966197194,24
200,10,2,0.6414638856701429,0.002907313483453965,25
50,20,2,0.6414638856701429,0.0033457157472132973,25
50,20,10,0.6414156044804944,0.0030436302650588,27
200,10,5,0.6411259173426033,0.0033996266400702826,28
100,10,2,0.6410293549633064,0.0033163238240776867,29
200,10,10,0.6410293549633064,0.0026161099235504403,29
50,20,5,0.6404499806875242,0.004251487053447553,31
100,10,5,0.6403534183082271,0.003623984937194907,32
100,10,10,0.6391946697566627,0.003484283227630116,33
50,10,2,0.6353321745847819,0.0025511480906957886,34
50,10,5,0.6346562379297026,0.0022635589358306627,35
50,10,10,0.6339320200849748,0.0010665663400142166,36
